"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.657869333E0,-3.782532011E-1,3.823883155E-1,1.546510772E0
3.667918333E0,-6.668888323E-1,4.434671608E-1,1.912026070E0
3.677968333E0,-7.958958051E-1,6.150539964E-1,2.400512990E0
3.688017333E0,-1.064763425E0,9.604265133E-1,2.925202362E0
3.698067333E0,-1.436868170E0,1.508557080E0,3.377407309E0
3.708116333E0,-1.697625190E0,2.110770883E0,3.732884107E0
3.718166333E0,-1.881548043E0,2.521456799E0,3.796043977E0
3.728215333E0,-2.041188286E0,2.794647193E0,3.813908975E0
3.738265333E0,-2.016522245E0,2.994336916E0,3.813748761E0
3.748314333E0,-1.993008983E0,2.870385008E0,3.866637411E0
3.758363333E0,-1.985959288E0,2.315486289E0,4.134198398E0
3.768413333E0,-1.968390451E0,1.650961924E0,4.598259745E0
3.778462333E0,-1.961425394E0,1.096886493E0,5.011570183E0
3.788512333E0,-1.932551405E0,4.193856955E-1,5.159473164E0
3.798561333E0,-1.938062698E0,-1.954955158E-1,4.674885752E0
3.808611333E0,-1.921223594E0,-6.087208772E-1,3.779248434E0
3.818660333E0,-1.828872816E0,-7.651757035E-1,2.670058522E0
3.828709333E0,-1.750609004E0,-7.386667666E-1,1.559919607E0
3.838759333E0,-1.706730767E0,-5.968372884E-1,6.090202546E-1
3.848808333E0,-1.705572580E0,-3.068177310E-1,-2.695344222E-1
3.858858333E0,-1.745278536E0,7.948237181E-2,-9.625019825E-1
3.868907333E0,-1.817507437E0,4.966820857E-1,-1.246410030E0
3.878957333E0,-1.651170231E0,7.912686110E-1,-1.286206765E0
3.889006333E0,-1.415737648E0,8.211242017E-1,-1.303357818E0
3.899056333E0,-1.255804021E0,6.779703292E-1,-1.204019471E0
3.909105333E0,-1.084902990E0,2.531476003E-1,-1.067301044E0
3.919154333E0,-8.019549823E-1,-3.216576719E-1,-1.093118255E0
3.929204333E0,-6.037315942E-1,-8.448989806E-1,-1.240033641E0
3.939253333E0,-4.246279070E-1,-1.210047658E0,-1.322661815E0
3.949303333E0,-2.076160995E-1,-1.379830627E0,-1.490417263E0
