"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.491776003E2,6.098639795E1,2.565842310E1,1.127639563E2,6.468838986E-1,2.036109954E2,8.195233418E0,6.995365481E0
1.501776007E2,6.098639030E1,2.565840791E1,1.127423328E2,6.830214704E-1,2.099624808E2,8.175154766E0,7.015643478E0
1.511776004E2,6.098637942E1,2.565839863E1,1.129937476E2,8.206359470E-1,2.085566724E2,8.135952951E0,7.013977893E0
1.521776005E2,6.098636151E1,2.565838148E1,1.133172856E2,1.342285756E0,2.098408011E2,8.340796887E0,7.205296504E0
1.531776004E2,6.098635049E1,2.565836404E1,1.137757520E2,1.351704202E0,2.147224924E2,8.271990940E0,7.080818944E0
1.541776003E2,6.098634309E1,2.565835290E1,1.128902461E2,1.116498682E0,2.180274458E2,8.444931357E0,7.059501388E0
1.551776007E2,6.098633765E1,2.565834251E1,1.134437047E2,8.839578847E-1,2.229402421E2,8.287031995E0,6.641529668E0
1.561776003E2,6.098632423E1,2.565832877E1,1.134998027E2,1.000210959E0,2.179238445E2,8.199244013E0,6.427440365E0
1.571776010E2,6.098631713E1,2.565832342E1,1.136731014E2,7.566999094E-1,2.158991596E2,8.200056301E0,6.383326376E0
1.581776015E2,6.098630203E1,2.565831012E1,1.138955395E2,1.008828488E0,2.133774005E2,8.334393723E0,6.447376637E0
1.591776003E2,6.098629014E1,2.565830123E1,1.135491482E2,1.016424300E0,2.101247559E2,8.321628310E0,6.368264816E0
1.601776005E2,6.098627729E1,2.565829299E1,1.140232183E2,9.561090081E-1,2.077534282E2,8.480679117E0,6.561616808E0
1.611776000E2,6.098626959E1,2.565826044E1,1.128047101E2,9.788016398E-1,2.243926871E2,8.463227230E0,6.720836210E0
1.621776005E2,6.098626127E1,2.565822539E1,1.128574391E2,1.076212088E0,2.308041454E2,8.360680141E0,6.596344420E0
1.631776028E2,6.098625467E1,2.565819156E1,1.127918176E2,9.463964320E-1,2.356330902E2,8.359576045E0,6.591645673E0
1.641775994E2,6.098624920E1,2.565815602E1,1.129699788E2,9.219072883E-1,2.482270337E2,8.485324569E0,6.919690071E0
1.651776016E2,6.098624943E1,2.565812657E1,1.132229836E2,7.254517398E-1,2.578450106E2,8.572439035E0,6.867333228E0
1.661776001E2,6.098625315E1,2.565811156E1,1.128040596E2,4.435773171E-1,2.762454183E2,8.749057161E0,6.717698922E0
1.671776013E2,6.098626249E1,2.565807562E1,1.132368839E2,7.344577696E-1,2.972073597E2,8.965063326E0,6.745647987E0
1.681776000E2,6.098627626E1,2.565805235E1,1.127479449E2,8.319088819E-1,3.252384678E2,9.223665068E0,6.709269084E0
1.691776006E2,6.098628593E1,2.565802288E1,1.123851402E2,7.822868782E-1,3.229573397E2,9.414528698E0,6.676529807E0
1.701776013E2,6.098629595E1,2.565799025E1,1.119503407E2,8.297278094E-1,3.211680774E2,9.727649166E0,6.749657000E0
1.711776007E2,6.098630615E1,2.565796589E1,1.116419979E2,8.179742688E-1,3.243697196E2,1.002047254E1,6.979736181E0
1.721776005E2,6.098632276E1,2.565792929E1,1.115656555E2,1.057389666E0,3.228394168E2,1.037009353E1,7.178852134E0
1.731776009E2,6.098633641E1,2.565789280E1,1.104245806E2,1.085724151E0,3.215806546E2,1.049317479E1,7.166054925E0
1.741776010E2,6.098634659E1,2.565786107E1,1.102785775E2,9.424457207E-1,3.186413839E2,1.083361163E1,7.289705110E0
1.751776004E2,6.098635546E1,2.565782294E1,1.091708578E2,8.302296041E-1,3.169837830E2,1.096343147E1,7.298695747E0
1.761776043E2,6.098636560E1,2.565777784E1,1.090796229E2,9.688658353E-1,3.199315039E2,1.129806009E1,7.864316885E0
1.771776011E2,6.098637559E1,2.565773662E1,1.078802606E2,9.994624128E-1,3.207451755E2,1.143646983E1,7.930836519E0
1.781776006E2,6.098638410E1,2.565768782E1,1.080043722E2,1.150583853E0,3.174035391E2,1.153335877E1,7.985568860E0
1.791776004E2,6.098639024E1,2.565765529E1,1.082817946E2,9.815277160E-1,3.155870473E2,1.183182869E1,8.163814836E0
1.801776006E2,6.098639760E1,2.565761992E1,1.073645652E2,9.452713062E-1,3.117896583E2,1.186788475E1,8.155160924E0
1.811776017E2,6.098640918E1,2.565759735E1,1.068992728E2,9.507573744E-1,3.166510813E2,1.239555736E1,8.561382301E0
1.821776000E2,6.098641359E1,2.565756403E1,1.071497616E2,7.972005228E-1,3.118665384E2,1.247454862E1,8.509252650E0
1.831776005E2,6.098642184E1,2.565753092E1,1.054945830E2,9.633201590E-1,3.128159623E2,1.267266077E1,8.644029703E0
1.841776004E2,6.098642910E1,2.565749366E1,1.055499844E2,1.139524193E0,3.086220550E2,1.285172310E1,8.740813040E0
1.851776005E2,6.098643589E1,2.565746383E1,1.063094906E2,1.005505285E0,3.091419459E2,1.286286858E1,8.703268541E0
1.861776012E2,6.098644792E1,2.565742325E1,1.052431263E2,1.178410356E0,3.096118870E2,1.294842630E1,8.746507303E0
1.871776016E2,6.098645219E1,2.565737752E1,1.052921851E2,1.259287064E0,3.017655292E2,1.319014252E1,8.833202338E0
1.881776009E2,6.098645820E1,2.565734340E1,1.052627070E2,1.165893449E0,3.004852451E2,1.296369298E1,8.590684246E0
1.891776007E2,6.098646641E1,2.565730963E1,1.043721955E2,1.122810983E0,3.072466119E2,1.274262564E1,8.342967784E0
1.901776001E2,6.098647143E1,2.565727890E1,1.045821104E2,1.045327857E0,3.082050863E2,1.271593127E1,8.200742019E0
1.911776009E2,6.098648687E1,2.565724747E1,1.049646177E2,1.278545701E0,3.194499864E2,1.244821309E1,7.965103560E0
